Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,SGD,Week,1.35107,1.36239,1.35101,1.35897,264517.6599000001
2019-07-07,SGD,Week,1.35929,1.36247,1.35435,1.35698,257956.3102
2019-07-14,SGD,Week,1.35803,1.36257,1.35519,1.36005,287903.42050000007
2019-07-21,SGD,Week,1.35888,1.37041,1.35867,1.36892,420223.7388
2019-07-28,SGD,Week,1.36718,1.37835,1.36718,1.37627,559651.2275999999
2019-08-04,SGD,Week,1.37614,1.38684,1.37536,1.38492,632179.8676000001
2019-08-11,SGD,Week,1.38393,1.39057,1.38052,1.38381,392881.4087
2019-08-18,SGD,Week,1.38434,1.38862,1.38232,1.38663,270758.1798000001
2019-08-25,SGD,Week,1.38941,1.39231,1.38609,1.3871,524509.8509000001
2019-09-01,SGD,Week,1.38891,1.39413,1.3793,1.38101,330884.79110000003
2019-09-08,SGD,Week,1.37997,1.3822,1.37195,1.37226,391196.7226
2019-09-15,SGD,Week,1.37442,1.37942,1.3719,1.37658,377700.4896000001
2019-09-22,SGD,Week,1.37587,1.38298,1.37487,1.3806,383292.7397000002
2019-09-29,SGD,Week,1.38078,1.38782,1.37761,1.37815,548061.0318
2019-10-06,SGD,Week,1.37906,1.38274,1.37012,1.37233,664431.8314
2019-10-13,SGD,Week,1.37247,1.37328,1.36322,1.36338,589459.5694000002
2019-10-20,SGD,Week,1.36333,1.36442,1.36015,1.3631,509623.53930000006
2019-10-27,SGD,Week,1.36247,1.36469,1.35635,1.35682,481272.95340000006
2019-11-03,SGD,Week,1.35676,1.36092,1.35572,1.35881,556634.6311999997
2019-11-10,SGD,Week,1.35867,1.36356,1.35867,1.35999,387976.95880000014
2019-11-17,SGD,Week,1.35976,1.36474,1.35938,1.36401,364639.9609999999
2019-11-24,SGD,Week,1.36361,1.36778,1.36317,1.36741,367874.9593
2019-12-01,SGD,Week,1.36665,1.36906,1.35921,1.35992,419733.0292000001
2019-12-08,SGD,Week,1.35893,1.36143,1.35129,1.35284,479102.9602000001
2019-12-15,SGD,Week,1.35375,1.35703,1.35299,1.35451,394248.6601000001
2019-12-22,SGD,Week,1.35439,1.35671,1.35162,1.35171,243370.91929999995
2019-12-29,SGD,Week,1.35168,1.35235,1.34404,1.35007,315304.87050000014
2020-01-05,SGD,Week,1.3485,1.35251,1.34763,1.34786,429899.9191
2020-01-12,SGD,Week,1.34801,1.3486,1.345,1.34685,199676.80870000005
2020-01-19,SGD,Week,1.34721,1.3527,1.34626,1.35108,189289.3399
2020-01-26,SGD,Week,1.35299,1.36704,1.35109,1.36432,275620.5702
2020-02-02,SGD,Week,1.36441,1.39161,1.36429,1.3889,317461.63940000004
2020-02-09,SGD,Week,1.39021,1.39268,1.38492,1.3918,290096.6601000001
2020-02-16,SGD,Week,1.39052,1.40878,1.38817,1.39636,256131.32959999997
2020-02-23,SGD,Week,1.40106,1.40427,1.39271,1.39284,686243.8489999999
2020-03-01,SGD,Week,1.39291,1.3944,1.37699,1.37788,635534.7605000004
2020-03-08,SGD,Week,1.37864,1.4178,1.37584,1.41406,715197.8714999999
2020-03-15,SGD,Week,1.41663,1.45672,1.40315,1.44835,1437729.4893999996
