Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,RON,Month,4.17215,4.27463,4.16455,4.2659,438572.63
31.07.2019,RON,Month,4.27693,4.30952,4.20277,4.29781,468147.74
31.08.2019,RON,Month,4.29954,4.3621,4.26262,4.34906,425629.0
30.09.2019,RON,Month,4.35029,4.36295,4.25202,4.25941,433644.0
31.10.2019,RON,Month,4.25602,4.36902,4.24965,4.33582,281447.0
30.11.2019,RON,Month,4.33618,4.34166,4.25446,4.26602,265851.0
31.12.2019,RON,Month,4.26596,4.34663,4.26035,4.30313,292488.5
31.01.2020,RON,Month,4.3104,4.44929,4.30886,4.36132,329588.75
29.02.2020,RON,Month,4.35601,4.55666,4.18976,4.37823,1090579.25
31.03.2020,RON,Month,4.38378,4.51236,4.38099,4.41525,408157.75
30.04.2020,RON,Month,4.41472,4.48834,4.34611,4.35743,299436.5
31.05.2020,RON,Month,4.34715,4.36174,4.23187,4.3022,377168.25
30.06.2020,RON,Month,4.30515,4.32166,4.05575,4.09769,761424.5498
31.07.2020,RON,Month,4.10391,4.13356,4.04066,4.05187,926158.2703
31.08.2020,RON,Month,4.03497,4.1986,4.02818,4.15647,1003861.1399
30.09.2020,RON,Month,4.14928,4.18287,4.10167,4.17179,717426.8697
31.10.2020,RON,Month,4.17857,4.18593,4.05692,4.08485,655106.75
30.11.2020,RON,Month,4.07396,4.07489,3.95227,3.98217,641799.2598
31.12.2020,RON,Month,3.96927,4.04397,3.94247,4.00937,989158.6001
31.01.2021,RON,Month,4.01747,4.07607,3.98027,4.03297,803316.0
28.02.2021,RON,Month,4.03284,4.20258,4.02489,4.19069,871211.2899
31.03.2021,RON,Month,4.19468,4.19716,4.05487,4.09641,577406.71
30.04.2021,RON,Month,4.09517,4.11043,4.01397,4.01917,703046.99
31.05.2021,RON,Month,4.02177,4.15857,4.01415,4.15327,694387.12
30.06.2021,RON,Month,4.15427,4.19096,4.13147,4.13546,752175.75
31.07.2021,RON,Month,4.13707,4.22999,4.13207,4.17677,518675.4399
31.08.2021,RON,Month,4.17987,4.27997,4.15148,4.27197,564557.05
30.09.2021,RON,Month,4.27257,4.29445,4.23167,4.27697,470459.9099
31.10.2021,RON,Month,4.27877,4.42337,4.25917,4.35957,623127.9402
30.11.2021,RON,Month,4.36597,4.40897,4.34287,4.34357,565553.5897
31.12.2021,RON,Month,4.35897,4.44657,4.30447,4.39917,582552.2588000003
31.01.2022,RON,Month,4.39827,4.45557,4.29837,4.40857,845092.2897999998
28.02.2022,RON,Month,4.41607,4.57887,4.40258,4.46387,1162541.301299999
31.03.2022,RON,Month,4.46527,4.72367,4.46077,4.68597,774598.6406000004
30.04.2022,RON,Month,4.70287,4.77657,4.58234,4.60177,921638.4816000004
31.05.2022,RON,Month,4.61337,4.76687,4.58867,4.71593,950528.6024000002
30.06.2022,RON,Month,4.72477,4.96407,4.71857,4.81667,1082608.742099999
31.07.2022,RON,Month,4.81177,4.93127,4.72637,4.81247,1089789.7623
31.08.2022,RON,Month,4.82927,5.18877,4.78507,5.04187,1473995.3402000002
30.09.2022,RON,Month,5.04697,5.12057,4.81477,4.96557,1561458.242299999
31.10.2022,RON,Month,4.94757,5.03467,4.68447,4.73019,1309490.1199999996
30.11.2022,RON,Month,4.70557,4.73797,4.58067,4.60958,1050845.4000000006
31.12.2022,RON,Month,4.61707,4.70133,4.46487,4.52447,952900.3300999996
31.01.2023,RON,Month,4.52039,4.66789,4.43576,4.65367,845003.730800001
28.02.2023,RON,Month,4.64317,4.67611,4.49708,4.55938,942913.7989
31.03.2023,RON,Month,4.58038,4.58287,4.45088,4.47066,491068.8009
30.04.2023,RON,Month,4.47631,4.66845,4.44199,4.64213,615375.0003999999
31.05.2023,RON,Month,4.64432,4.65618,4.5056,4.53803,567915.8994
30.06.2023,RON,Month,4.53569,4.57184,4.38476,4.38937,284224.6000000012
