Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,SGD,Month,1.35107,1.37455,1.35101,1.37392,1463148.0479000006
31.07.2019,SGD,Month,1.37392,1.39231,1.37071,1.3871,2147433.6161000016
31.08.2019,SGD,Month,1.38891,1.39413,1.3719,1.38179,1583859.8735999991
30.09.2019,SGD,Month,1.38176,1.38782,1.35964,1.36021,2595306.9438999994
31.10.2019,SGD,Month,1.36018,1.36778,1.35572,1.36741,1773883.3610999996
30.11.2019,SGD,Month,1.36665,1.36906,1.3443,1.34432,1694637.679499999
31.12.2019,SGD,Month,1.34436,1.36704,1.34404,1.36432,1251609.3977000006
31.01.2020,SGD,Month,1.36441,1.40878,1.36429,1.39284,1549933.4781000018
29.02.2020,SGD,Month,1.39291,1.46462,1.37584,1.4209,4492539.055500003
31.03.2020,SGD,Month,1.42089,1.44161,1.40695,1.40939,2600277.6781000025
30.04.2020,SGD,Month,1.40854,1.42788,1.40775,1.41142,1590861.0412999992
31.05.2020,SGD,Month,1.41115,1.41396,1.38019,1.39347,1992508.7286999992
30.06.2020,SGD,Month,1.39332,1.3971,1.36885,1.3737,1393293.0497999983
31.07.2020,SGD,Month,1.37338,1.37864,1.3575,1.36015,1372674.4747999995
31.08.2020,SGD,Month,1.35985,1.37943,1.35419,1.36407,1387924.5732999989
30.09.2020,SGD,Month,1.36406,1.36837,1.3522,1.36563,986317.2704
31.10.2020,SGD,Month,1.36436,1.37128,1.33684,1.34156,946965.9907
30.11.2020,SGD,Month,1.34153,1.3418,1.32032,1.32124,820998.3398000002
31.12.2020,SGD,Month,1.3205,1.33401,1.3156,1.32801,854455.7515999994
31.01.2021,SGD,Month,1.32851,1.33889,1.31639,1.33138,787066.5905000004
28.02.2021,SGD,Month,1.33231,1.35302,1.32671,1.34381,1067971.0421000004
31.03.2021,SGD,Month,1.3438,1.34792,1.32332,1.33002,459664.7496999997
30.04.2021,SGD,Month,1.32912,1.33905,1.32066,1.32123,549485.0097000002
31.05.2021,SGD,Month,1.32099,1.34759,1.31888,1.34417,595073.9493000004
30.06.2021,SGD,Month,1.34412,1.36926,1.3424,1.35351,699314.8398999996
31.07.2021,SGD,Month,1.35219,1.36546,1.34167,1.34419,678189.0504
31.08.2021,SGD,Month,1.34419,1.36307,1.33792,1.3569,1049052.8595000005
30.09.2021,SGD,Month,1.356,1.36257,1.34182,1.34768,1181797.6203999997
31.10.2021,SGD,Month,1.34779,1.37427,1.34523,1.3645,1131644.4686000005
30.11.2021,SGD,Month,1.3645,1.37302,1.34703,1.34728,1005768.0380999988
31.12.2021,SGD,Month,1.34766,1.36137,1.34242,1.35102,998857.5976000002
31.01.2022,SGD,Month,1.35118,1.36057,1.34062,1.35472,1629514.0505
28.02.2022,SGD,Month,1.3547,1.36864,1.35186,1.35462,1424395.6506999985
31.03.2022,SGD,Month,1.35473,1.39042,1.35093,1.38281,1072918.729600001
30.04.2022,SGD,Month,1.38134,1.3985,1.36569,1.36967,3029613.6685999995
31.05.2022,SGD,Month,1.36967,1.3957,1.36851,1.38907,9519159.214900002
30.06.2022,SGD,Month,1.38905,1.40964,1.37652,1.37946,16402159.62690001
31.07.2022,SGD,Month,1.38078,1.40053,1.36646,1.39675,20013707.050500024
31.08.2022,SGD,Month,1.39636,1.44912,1.3939,1.43461,16627086.558999998
30.09.2022,SGD,Month,1.43322,1.44122,1.40217,1.4152,17568055.501000013
31.10.2022,SGD,Month,1.41504,1.42431,1.35975,1.36057,14386824.528800003
30.11.2022,SGD,Month,1.36056,1.36173,1.33795,1.33999,10115371.190799998
31.12.2022,SGD,Month,1.33758,1.34889,1.31036,1.31368,7841260.659799997
31.01.2023,SGD,Month,1.31355,1.35171,1.30309,1.34808,6322522.515199999
28.02.2023,SGD,Month,1.34805,1.35752,1.3232,1.33057,6872392.330599996
31.03.2023,SGD,Month,1.33084,1.33913,1.32007,1.33281,4087266.8114
30.04.2023,SGD,Month,1.33353,1.3561,1.32259,1.35155,3286207.0693
31.05.2023,SGD,Month,1.35144,1.35725,1.33511,1.3516,3198876.8292000024
30.06.2023,SGD,Month,1.35134,1.35583,1.31714,1.32067,1428117.5999999973
