Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,CHF,Month,0.97853,0.99513,0.97802,0.99388,1878691.6996999995
31.07.2019,CHF,Month,0.99386,0.99752,0.96593,0.98928,2912421.3606000007
31.08.2019,CHF,Month,0.98982,0.99876,0.97978,0.99755,2103759.7311
30.09.2019,CHF,Month,0.99761,1.00273,0.98381,0.98618,2141024.781799999
31.10.2019,CHF,Month,0.98618,1.00231,0.98484,0.99955,1451876.8619999983
30.11.2019,CHF,Month,0.99978,1.00082,0.96459,0.96707,1330646.822000001
31.12.2019,CHF,Month,0.96698,0.97663,0.96127,0.96271,1537731.4899999988
31.01.2020,CHF,Month,0.96335,0.98484,0.961,0.96437,2168000.748399999
29.02.2020,CHF,Month,0.96307,0.9901,0.91821,0.96094,5736335.015800001
31.03.2020,CHF,Month,0.96091,0.98023,0.9593,0.96519,2671793.2816000017
30.04.2020,CHF,Month,0.96513,0.97839,0.95882,0.96048,1870883.1340000008
31.05.2020,CHF,Month,0.96054,0.96503,0.93757,0.94713,2066919.5820000025
30.06.2020,CHF,Month,0.94716,0.94936,0.90559,0.91307,1931511.5025
31.07.2020,CHF,Month,0.91376,0.92416,0.89984,0.90363,2103463.3691000016
31.08.2020,CHF,Month,0.90364,0.92961,0.89987,0.92076,1893969.7313000013
30.09.2020,CHF,Month,0.92075,0.92185,0.90303,0.91683,1344735.091000001
31.10.2020,CHF,Month,0.91605,0.92073,0.89821,0.90855,1588025.6698999992
30.11.2020,CHF,Month,0.90856,0.90895,0.87938,0.88468,1411059.9094000023
31.12.2020,CHF,Month,0.88301,0.89258,0.87572,0.89003,1392565.6763999993
31.01.2021,CHF,Month,0.89005,0.91015,0.8871,0.90824,1362318.7702999995
28.02.2021,CHF,Month,0.90868,0.94583,0.90704,0.94354,1973020.1351000036
31.03.2021,CHF,Month,0.94349,0.94723,0.90798,0.9129,1494516.3200000003
30.04.2021,CHF,Month,0.91243,0.91641,0.893,0.89867,1605580.3122999996
31.05.2021,CHF,Month,0.89867,0.92618,0.8926,0.92494,1263075.7425
30.06.2021,CHF,Month,0.92494,0.92742,0.90392,0.90489,1357317.6895000006
31.07.2021,CHF,Month,0.90379,0.92419,0.90181,0.91492,958577.7203999994
31.08.2021,CHF,Month,0.91484,0.93679,0.91151,0.9315,1274940.5514999994
30.09.2021,CHF,Month,0.93142,0.93375,0.9102,0.91524,1375208.358899999
31.10.2021,CHF,Month,0.91465,0.93734,0.90852,0.91831,1960172.3342
30.11.2021,CHF,Month,0.91833,0.92939,0.91014,0.91168,1590329.7519999987
31.12.2021,CHF,Month,0.91113,0.93427,0.90911,0.92694,1719913.0454000009
31.01.2022,CHF,Month,0.92683,0.92968,0.91497,0.91673,2509360.503600002
28.02.2022,CHF,Month,0.91672,0.94598,0.91503,0.92253,2996675.3746
31.03.2022,CHF,Month,0.92231,0.97588,0.92196,0.97318,2527555.1216
30.04.2022,CHF,Month,0.97208,1.00639,0.95443,0.95889,2313115.142100001
31.05.2022,CHF,Month,0.95718,1.00492,0.94948,0.95457,3471090.2375000003
30.06.2022,CHF,Month,0.9542,0.98855,0.95019,0.9512,3743860.414900005
31.07.2022,CHF,Month,0.95143,0.98068,0.93702,0.97728,4352890.074599999
31.08.2022,CHF,Month,0.97728,0.99654,0.94792,0.98674,6234995.0723
30.09.2022,CHF,Month,0.98395,1.01472,0.97801,1.00127,5708592.716599996
31.10.2022,CHF,Month,1.00127,1.01466,0.93557,0.94507,5045233.015100002
30.11.2022,CHF,Month,0.94489,0.94599,0.91997,0.92427,3605887.715000001
31.12.2022,CHF,Month,0.92631,0.94086,0.9085,0.91571,2636041.7295
31.01.2023,CHF,Month,0.91571,0.94285,0.90591,0.94202,2245616.421800002
28.02.2023,CHF,Month,0.94201,0.94396,0.90708,0.9148,3294183.982600001
31.03.2023,CHF,Month,0.91467,0.91961,0.88513,0.89371,1611739.4883000026
30.04.2023,CHF,Month,0.89114,0.91471,0.88197,0.91055,1751078.568099999
31.05.2023,CHF,Month,0.91054,0.91192,0.89012,0.89489,1683814.4308
30.06.2023,CHF,Month,0.8932,0.90041,0.85657,0.86154,805279.4700999975
