Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,5.73190,5.78712,5.50995,5.57986,1379197.3443000007
31.07.2019 16:00:00.000 GMT-0500,5.57807,5.89477,5.45017,5.82573,1131001.1400999995
31.08.2019 16:00:00.000 GMT-0500,5.83330,5.83906,5.63661,5.64509,993546.3447999994
30.09.2019 16:00:00.000 GMT-0500,5.64418,5.93827,5.63809,5.70847,1215231.720599999
31.10.2019 16:00:00.000 GMT-0500,5.70847,5.79557,5.68492,5.74212,1245063.9646000008
30.11.2019 16:00:00.000 GMT-0600,5.74497,5.95969,5.72997,5.94667,1289789.6417999994
31.12.2019 16:00:00.000 GMT-0600,5.94397,5.98827,5.83873,5.97580,1374959.4377000013
31.01.2020 16:00:00.000 GMT-0600,5.97798,6.25659,5.96267,6.22984,1564117.2355000002
29.02.2020 16:00:00.000 GMT-0600,6.25262,6.61869,6.02792,6.61284,1935009.8534000013
31.03.2020 16:00:00.000 GMT-0500,6.61284,7.00692,6.59050,6.98498,1760641.2726999996
30.04.2020 16:00:00.000 GMT-0500,6.98498,7.26852,6.69637,6.81041,1214057.7481999984
31.05.2020 16:00:00.000 GMT-0500,6.81059,6.86025,6.68597,6.85034,443308.52270000044
30.06.2020 16:00:00.000 GMT-0500,6.85144,7.00815,6.81738,6.97366,618837.5099000002
31.07.2020 16:00:00.000 GMT-0500,6.96559,7.42447,6.88662,7.34828,686330.7558999999
31.08.2020 16:00:00.000 GMT-0500,7.34427,7.85613,7.32264,7.72207,495958.39049999975
30.09.2020 16:00:00.000 GMT-0500,7.72003,8.38340,7.63158,8.37174,691913.0723999995
31.10.2020 16:00:00.000 GMT-0500,8.37195,8.58109,7.49862,7.82354,530809.5515999998
30.11.2020 16:00:00.000 GMT-0600,7.82338,8.02616,7.30717,7.43449,319240.0015000001
31.12.2020 16:00:00.000 GMT-0600,7.41833,7.54149,7.23944,7.30888,433097.55539999966
31.01.2021 16:00:00.000 GMT-0600,7.31029,7.48353,6.89548,7.41899,591561.5379999998
28.02.2021 16:00:00.000 GMT-0600,7.40860,8.44987,7.18973,8.24136,504483.6889
31.03.2021 16:00:00.000 GMT-0500,8.26770,8.48494,7.98736,8.27774,329882.5581999999
30.04.2021 16:00:00.000 GMT-0500,8.29446,8.61282,8.22293,8.49307,384982.5078999999
31.05.2021 16:00:00.000 GMT-0500,8.48381,8.79357,8.28418,8.70052,691652.5353000002
30.06.2021 16:00:00.000 GMT-0500,8.69917,8.73087,8.39952,8.44178,545275.9528000003
31.07.2021 16:00:00.000 GMT-0500,8.44256,8.68036,8.29384,8.31606,694063.9805000001
31.08.2021 16:00:00.000 GMT-0500,8.31913,8.95120,8.26274,8.88267,561194.4955
30.09.2021 16:00:00.000 GMT-0500,8.88486,9.84532,8.83056,9.60640,595577.8674999994
31.10.2021 16:00:00.000 GMT-0500,9.59080,13.44996,9.47197,13.25432,570317.8784999995
30.11.2021 16:00:00.000 GMT-0600,13.23630,18.27303,10.20273,13.21076,1534094.1220999984
31.12.2021 16:00:00.000 GMT-0600,13.33275,13.93252,12.75474,13.24802,544291.1497
31.01.2022 16:00:00.000 GMT-0600,13.24797,14.65214,13.20787,13.80347,484140.1451000003
28.02.2022 16:00:00.000 GMT-0600,13.78873,14.99039,13.75663,14.65776,766302.8215999993
31.03.2022 16:00:00.000 GMT-0500,14.64065,14.86256,14.54914,14.84264,324715.35520000005
30.04.2022 16:00:00.000 GMT-0500,14.84557,16.46453,14.67114,16.37953,1192399.4487999997
31.05.2022 16:00:00.000 GMT-0500,16.37953,17.42409,16.05099,16.67165,3689505.0825999994
30.06.2022 16:00:00.000 GMT-0500,16.67165,17.97681,16.63912,17.88864,5491294.312400003
31.07.2022 16:00:00.000 GMT-0500,17.90947,18.22734,17.58637,18.18510,4600299.310399998
31.08.2022 16:00:00.000 GMT-0500,18.17119,18.67609,17.83247,18.45489,2013503.7017000003
30.09.2022 16:00:00.000 GMT-0500,18.43481,18.65828,18.37327,18.59601,927228.1160000002
31.10.2022 16:00:00.000 GMT-0500,18.58227,18.66306,18.16122,18.58691,1147398.3119000008
30.11.2022 16:00:00.000 GMT-0600,18.57980,18.76114,18.50615,18.62987,608880.3105999994
31.12.2022 16:00:00.000 GMT-0600,18.68168,18.85177,18.58766,18.80001,604339.5692000006
31.01.2023 16:00:00.000 GMT-0600,18.79169,18.94202,18.71951,18.87364,366571.27950000006
28.02.2023 16:00:00.000 GMT-0600,18.85851,19.21431,18.74749,19.16227,596214.7128000006
31.03.2023 16:00:00.000 GMT-0500,19.18989,19.61365,19.17002,19.43227,702814.0504999999
30.04.2023 16:00:00.000 GMT-0500,19.44058,20.82649,19.43313,20.70580,1238501.3189999997
31.05.2023 16:00:00.000 GMT-0500,20.76725,26.08359,20.73506,26.03038,1025435.8312000001
30.06.2023 16:00:00.000 GMT-0500,26.00369,26.20376,25.81739,26.13797,385412.06009999255
