Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,CNH,Week,6.82964,6.90028,6.81651,6.89419,546654.4811
2019-07-07,CNH,Week,6.89464,6.89932,6.86116,6.87788,483725.7299
2019-07-14,CNH,Week,6.87582,6.88654,6.86991,6.88094,466286.1491000001
2019-07-21,CNH,Week,6.87565,6.88644,6.86791,6.87988,657408.7805999999
2019-07-28,CNH,Week,6.87886,6.97989,6.87794,6.97934,973744.4558999996
2019-08-04,CNH,Week,6.975,7.13985,6.97398,7.09649,1092958.0713000004
2019-08-11,CNH,Week,7.09884,7.11248,6.98996,7.04324,998699.9858000004
2019-08-18,CNH,Week,7.04796,7.13834,7.04198,7.13372,782780.9808999998
2019-08-25,CNH,Week,7.17077,7.18352,7.1399,7.15967,983575.2740000006
2019-09-01,CNH,Week,7.17297,7.19605,7.09573,7.10447,924682.8634999996
2019-09-08,CNH,Week,7.10561,7.13194,7.03084,7.04563,944452.4266999998
2019-09-15,CNH,Week,7.04888,7.13053,7.04384,7.1182,961293.4220999996
2019-09-22,CNH,Week,7.10303,7.15133,7.09753,7.1351,915369.3313999996
2019-09-29,CNH,Week,7.13319,7.15849,7.10718,7.11178,883748.9513000003
2019-10-06,CNH,Week,7.12449,7.16817,7.07016,7.08874,1061811.7315999998
2019-10-13,CNH,Week,7.08503,7.11247,7.05007,7.07032,1069289.6309999998
2019-10-20,CNH,Week,7.07002,7.08583,7.04988,7.05084,935507.3561
2019-10-27,CNH,Week,7.04995,7.06912,7.02934,7.04041,965388.2386999996
2019-11-03,CNH,Week,7.03554,7.04129,6.95246,6.98693,861362.2421999999
2019-11-10,CNH,Week,6.98934,7.03718,6.98724,7.00282,765518.2022
2019-11-17,CNH,Week,7.00388,7.05327,7.00388,7.04068,744473.1206999997
2019-11-24,CNH,Week,7.03579,7.04233,7.00852,7.03042,716542.8507000001
2019-12-01,CNH,Week,7.02601,7.08678,7.01972,7.02301,826142.1093000001
2019-12-08,CNH,Week,7.02336,7.04153,6.92162,7.00261,917892.5499
2019-12-15,CNH,Week,7.00442,7.01212,6.98645,6.99772,676332.0417000002
2019-12-22,CNH,Week,7.00004,7.01297,6.9863,6.98951,409240.2599
2019-12-29,CNH,Week,6.99072,6.99382,6.95652,6.96435,636993.7414999999
2020-01-05,CNH,Week,6.96762,6.97767,6.91006,6.9115,856671.5144999997
2020-01-12,CNH,Week,6.91226,6.91564,6.85785,6.86492,913498.8529999998
2020-01-19,CNH,Week,6.86204,6.94229,6.8455,6.9284,948811.1743
2020-01-26,CNH,Week,6.94623,7.00689,6.94479,6.9977,1003309.4011000004
2020-02-02,CNH,Week,6.99068,7.02289,6.95721,7.00523,946111.9521999996
2020-02-09,CNH,Week,7.00501,7.0117,6.95728,6.99121,800106.1602999999
2020-02-16,CNH,Week,6.98998,7.05727,6.97361,7.03337,836705.3249999995
2020-02-23,CNH,Week,7.0487,7.05617,6.97679,6.97728,1559777.4708
2020-03-01,CNH,Week,6.99239,6.99245,6.91731,6.92812,1490758.1320000004
2020-03-08,CNH,Week,6.93342,7.05216,6.90452,7.02218,1629386.2444999998
2020-03-15,CNH,Week,6.99171,7.16507,6.98367,7.12662,1558651.6710000006
2020-03-22,CNH,Week,7.13102,7.15158,7.05854,7.08763,1425116.4278999998
2020-03-29,CNH,Week,7.0937,7.14213,7.07799,7.10712,1116328.2413999997
2020-04-05,CNH,Week,7.11617,7.11929,7.03657,7.04331,973863.8284
2020-04-12,CNH,Week,7.04354,7.09247,7.04205,7.07701,1206483.0698
2020-04-19,CNH,Week,7.07862,7.10921,7.07385,7.08863,1188855.9604000002
2020-04-26,CNH,Week,7.08868,7.14006,7.05255,7.13597,992090.0284000002
2020-05-03,CNH,Week,7.13665,7.15577,7.08102,7.09377,1064155.3451000005
2020-05-10,CNH,Week,7.09271,7.13518,7.08384,7.13288,1008132.7299999996
2020-05-17,CNH,Week,7.1303,7.16443,7.09833,7.14792,989394.3182
2020-05-24,CNH,Week,7.15119,7.19631,7.13091,7.13292,1101526.5811
2020-05-31,CNH,Week,7.13519,7.15167,7.06748,7.06807,992936.6231
2020-06-07,CNH,Week,7.06797,7.09172,7.03993,7.07409,959144.0507
2020-06-14,CNH,Week,7.08351,7.09734,7.05981,7.07691,892020.099
2020-06-21,CNH,Week,7.07935,7.08973,7.04534,7.08353,633654.8828999997
2020-06-28,CNH,Week,7.0858,7.08659,7.05834,7.06541,449600.8814000001
2020-07-05,CNH,Week,7.06584,7.06844,6.98069,7.00877,602671.0005000001
2020-07-12,CNH,Week,7.00659,7.02556,6.98047,6.98854,525867.1518000001
2020-07-19,CNH,Week,6.98867,7.03017,6.9641,7.01318,654626.2491
2020-07-26,CNH,Week,7.01286,7.01796,6.97499,6.9881,612523.0220000003
2020-08-02,CNH,Week,6.98698,6.99354,6.93199,6.964,655973.2878999999
2020-08-09,CNH,Week,6.96245,6.97438,6.92747,6.9392,627419.7514999999
2020-08-16,CNH,Week,6.9407,6.94167,6.89338,6.91843,653540.6891000001
2020-08-23,CNH,Week,6.91802,6.9203,6.85617,6.85638,919866.3811
2020-08-30,CNH,Week,6.85905,6.86175,6.81314,6.83541,803301.1510000004
2020-09-06,CNH,Week,6.83764,6.8609,6.82501,6.83202,558441.3275
2020-09-13,CNH,Week,6.83119,6.83481,6.74217,6.77688,653660.4881999998
2020-09-20,CNH,Week,6.76609,6.84612,6.753,6.82103,763762.0387999999
2020-09-27,CNH,Week,6.82747,6.83458,6.73016,6.75179,659535.2112
2020-10-04,CNH,Week,6.75475,6.75633,6.67849,6.68907,476694.75240000006
2020-10-11,CNH,Week,6.72631,6.76502,6.68654,6.69438,530124.0566999997
2020-10-18,CNH,Week,6.69432,6.69999,6.62751,6.66487,639499.9002000001
2020-10-25,CNH,Week,6.66363,6.73768,6.65953,6.6943,849683.1279000002
2020-11-01,CNH,Week,6.69329,6.7744,6.58549,6.59044,1029521.0800999998
2020-11-08,CNH,Week,6.58211,6.64923,6.54724,6.59399,1151212.6887000003
2020-11-15,CNH,Week,6.59986,6.59987,6.53173,6.54858,653816.9662
2020-11-22,CNH,Week,6.5525,6.59707,6.54451,6.57244,482805.9307000002
2020-11-29,CNH,Week,6.5717,6.58754,6.5069,6.51526,624380.6808999999
2020-12-06,CNH,Week,6.51277,6.54603,6.49694,6.53698,576983.7627000001
2020-12-13,CNH,Week,6.53265,6.54503,6.49973,6.51864,559563.5316999998
2020-12-20,CNH,Week,6.52026,6.55293,6.50554,6.50554,519377.8032999997
2020-12-27,CNH,Week,6.51334,6.53643,6.48824,6.50098,381200.5801999999
2021-01-03,CNH,Week,6.49701,6.49714,6.41162,6.46067,730220.6560000002
2021-01-10,CNH,Week,6.46583,6.49023,6.43983,6.48113,616402.9335000003
2021-01-17,CNH,Week,6.47918,6.50735,6.45496,6.49546,619754.4885000001
2021-01-24,CNH,Week,6.49399,6.51504,6.43964,6.45115,823303.7832000001
2021-01-31,CNH,Week,6.44811,6.4878,6.443,6.45699,693356.4806
2021-02-07,CNH,Week,6.45651,6.46259,6.41262,6.41676,475551.1684999999
2021-02-14,CNH,Week,6.41999,6.47133,6.4007,6.4595,457528.6195
2021-02-21,CNH,Week,6.44476,6.50823,6.44098,6.47775,726290.5676999998
2021-02-28,CNH,Week,6.47758,6.52872,6.4578,6.51504,859480.9206000002
2021-03-07,CNH,Week,6.51318,6.56263,6.4748,6.49547,940594.7735
2021-03-14,CNH,Week,6.49462,6.52204,6.48481,6.50636,734605.1607999996
2021-03-21,CNH,Week,6.51316,6.55323,6.50181,6.53679,682096.6394999999
2021-03-28,CNH,Week,6.53924,6.58751,6.53879,6.57532,507778.18750000006
2021-04-04,CNH,Week,6.57149,6.58327,6.53852,6.55677,402019.9410000001
2021-04-11,CNH,Week,6.55875,6.56593,6.52064,6.52207,467608.2685
2021-04-18,CNH,Week,6.52424,6.53456,6.48004,6.48856,493834.4995999998
2021-04-25,CNH,Week,6.48504,6.49076,6.4613,6.47105,469729.0899999997
2021-05-02,CNH,Week,6.47035,6.49294,6.41264,6.41482,436604.6383
2021-05-09,CNH,Week,6.41796,6.46134,6.40388,6.4373,584654.2392000001
2021-05-16,CNH,Week,6.43886,6.44981,6.41781,6.43177,477879.8002000001
2021-05-23,CNH,Week,6.43677,6.44084,6.35628,6.35732,482761.1699999999
2021-05-30,CNH,Week,6.36146,6.4103,6.35243,6.38872,433510.2507999999
2021-06-06,CNH,Week,6.38699,6.4018,6.37794,6.39502,439915.2496000001
2021-06-13,CNH,Week,6.39302,6.46521,6.39013,6.46031,567201.4488
2021-06-20,CNH,Week,6.45999,6.49465,6.45175,6.45902,571380.9498000001
2021-06-27,CNH,Week,6.45523,6.49075,6.45499,6.46841,507184.3489
2021-07-04,CNH,Week,6.46862,6.50003,6.45839,6.47733,606590.5119999999
2021-07-11,CNH,Week,6.47657,6.48428,6.45056,6.47563,575704.2876000002
2021-07-18,CNH,Week,6.47569,6.49773,6.46071,6.47392,597478.0623000002
2021-07-25,CNH,Week,6.47069,6.52847,6.4509,6.46061,658744.0517000007
2021-08-01,CNH,Week,6.45889,6.484,6.45345,6.47393,487242.6684
2021-08-08,CNH,Week,6.47904,6.49275,6.47261,6.47506,387053.9506
2021-08-15,CNH,Week,6.47666,6.51027,6.47367,6.49903,453970.6791
2021-08-22,CNH,Week,6.49812,6.50364,6.45908,6.45917,423529.5802
2021-08-29,CNH,Week,6.46025,6.47189,6.42411,6.43677,452801.1909999998
2021-09-05,CNH,Week,6.43632,6.46467,6.42597,6.44292,503151.2192000001
2021-09-12,CNH,Week,6.44201,6.47332,6.42471,6.47102,570099.9873000003
2021-09-19,CNH,Week,6.46978,6.48787,6.45222,6.45893,644288.9023
2021-09-26,CNH,Week,6.4609,6.47976,6.42821,6.43431,676924.7002
2021-10-03,CNH,Week,6.44458,6.47049,6.43699,6.44466,558902.4201000002
2021-10-10,CNH,Week,6.44177,6.46417,6.42207,6.43383,582817.9324999999
2021-10-17,CNH,Week,6.43212,6.43868,6.36845,6.38092,590326.6807999999
2021-10-24,CNH,Week,6.37999,6.41019,6.37449,6.40306,562683.032
2021-10-31,CNH,Week,6.40598,6.40878,6.39065,6.39193,536842.5591
2021-11-07,CNH,Week,6.39479,6.40749,6.37084,6.37693,555646.2306000002
2021-11-14,CNH,Week,6.37671,6.39747,6.3614,6.38983,609926.8411999999
2021-11-21,CNH,Week,6.38932,6.39973,6.37678,6.39633,532028.9289000003
2021-11-28,CNH,Week,6.39456,6.39618,6.36294,6.37093,620701.0377999999
2021-12-05,CNH,Week,6.37312,6.38906,6.33042,6.37392,537406.0327000001
2021-12-12,CNH,Week,6.37425,6.39369,6.36372,6.38292,478022.4513
2021-12-19,CNH,Week,6.38557,6.39001,6.36982,6.37289,370340.1606999999
2021-12-26,CNH,Week,6.37213,6.37926,6.33768,6.36192,325928.8496999999
2022-01-02,CNH,Week,6.36078,6.39753,6.35129,6.38222,420056.2890999999
2022-01-09,CNH,Week,6.38087,6.3862,6.34232,6.35593,442827.6388999998
2022-01-16,CNH,Week,6.35503,6.36504,6.33756,6.33952,470950.372
2022-01-23,CNH,Week,6.3384,6.37565,6.32351,6.36803,750318.8883999999
2022-01-30,CNH,Week,6.36305,6.38629,6.3487,6.36078,449320.1999999998
2022-02-06,CNH,Week,6.35875,6.37619,6.35176,6.36412,616285.7807999996
2022-02-13,CNH,Week,6.36272,6.36762,6.31596,6.32248,492225.7414
2022-02-20,CNH,Week,6.3241,6.3444,6.30578,6.30873,639189.2798999997
2022-02-27,CNH,Week,6.32396,6.33126,6.30667,6.32313,636297.6019000001
2022-03-06,CNH,Week,6.32132,6.36429,6.31206,6.35592,619952.8805000001
2022-03-13,CNH,Week,6.36254,6.41059,6.35272,6.36392,646536.438
2022-03-20,CNH,Week,6.36587,6.39324,6.3614,6.38192,445166.23909999983
2022-03-27,CNH,Week,6.38733,6.39821,6.34492,6.36492,465998.3333000002
2022-04-03,CNH,Week,6.36194,6.38698,6.35763,6.36612,392858.5997
2022-04-10,CNH,Week,6.36725,6.3957,6.36718,6.38083,443678.0991999998
2022-04-17,CNH,Week,6.37994,6.5472,6.374,6.52581,697664.023
2022-04-24,CNH,Week,6.52417,6.69375,6.52107,6.64018,1165841.8284
2022-05-01,CNH,Week,6.64609,6.73376,6.61035,6.71493,1117980.0499
2022-05-08,CNH,Week,6.70982,6.83723,6.70976,6.7969,1399815.9152
2022-05-15,CNH,Week,6.79868,6.82039,6.67232,6.69708,978258.3309
2022-05-22,CNH,Week,6.69763,6.78514,6.64782,6.71881,1088052.9493000002
